sentence_id;sentence;relation-type
142;1;Jack Kerouac (March 12, 1922 - October 21, 1969) was an American novelist, writer, poet, artist, and part of the Beat Generation.;JOB_TITLE
145;1;"Bill ""Billy"" Boucher (b. November 10, 1899 in Ottawa, Ontario, Canada, died November 10, 1958) was a Canadian professional ice hockey rightwinger who played in the National Hockey League for the Montreal Canadiens, Boston Bruins and New York Americans.";JOB_TITLE
157;1;Dr. Benjamin Franklin (January 17, 1706 - April 17, 1790) was an American publisher, journalist, author, philanthropist, abolitionist, public servant, statesman, scientist, librarian, diplomat, poet, musician, philosopher, economist, and inventor.;JOB_TITLE
157;4;In 1775, Franklin became the first United States Postmaster General.;JOB_TITLE
279;2;Then he went on to a public grammar school for three years.;CONTROL
162;1;Caspar Willard Weinberger (born August 18, 1917) is best known as United States Secretary of Defense under President Ronald Reagan from 1981 through 1987, and for his related roles in the Strategic Defense Initiative program (popularly known as Star Wars), and in the Iran-Contra Affair.;JOB_TITLE
166;2;Weinberger moved to Washington in January 1970 to become chairman of the Federal Trade Commission, subsequently serving as deputy director (1970-72) and director (1972-73) of the Office of Management and Budget, and as Secretary of Health, Education, and Welfare (1973-75).;JOB_TITLE
167;1;Mildred Bailey (February 27, 1907 - December 12, 1951) was a popular American singer during the 1930s.;JOB_TITLE
170;1;Recep Tayyip Erdogan (born February 26, 1954) became prime minister of Turkey on March 14, 2003.;JOB_TITLE
284;15;His fan mail jumped to thousands of letters a week.;CONTROL
174;1;John W. Duarte(October 2, 1919 - December 23, 2004) was a British composer and classical guitarist.;JOB_TITLE
184;5;The following year, he was elected House Minority Whip.;JOB_TITLE
6;1;John Fitzgerald Kennedy Jr., often referred to as John F. Kennedy, Jr., JFK Jr. or John-John (November 25, 1960 - July 16, 1999) was an American lawyer, journalist, and publisher.;NATIONALITY
32;1;Sir Henry Edward Bolte (20 May 1908 - 4 January 1990), Australian politician, was the longest serving Premier of the state of Victoria.;NATIONALITY
55;1;Elizabeth Rogers (May 18, 1934 - November 6, 2004) was an American actress.;NATIONALITY
67;1;Stephen Harriman Long (December 30, 1784 - September 4, 1864) was a U.S. engineer, explorer, and military officer.;NATIONALITY
78;1;Josiah Wedgwood (July 12, 1730 - January 3, 1795) was an English potter, credited with the industrialisation of the manufacture of pottery.;NATIONALITY
87;1;Julius Henry Marx, known as Groucho Marx (October 2, 1890 - August 19, 1977), was an American comedian, working both with his siblings, the Marx Brothers, and on his own.;NATIONALITY
91;1;Jorge Amado de Faria (August 10, 1912 - August 6, 2001) was a Brazilian writer of the Modernist school.;NATIONALITY
96;1;John William Coltrane (September 23, 1926 - July 17, 1967) was an American jazz saxophonist and composer.;NATIONALITY
303;2;She succumbed to diabetes in September 2002.;CONTROL
131;1;"Reagan was born in Tampico, Illinois, the second of two sons to Catholic, Irish-American democrat John ""Jack"" Reagan and Nelle Wilson, who was of Scottish and English descent.";NATIONALITY
142;1;Jack Kerouac (March 12, 1922 - October 21, 1969) was an American novelist, writer, poet, artist, and part of the Beat Generation.;NATIONALITY
145;1;"Bill ""Billy"" Boucher (b. November 10, 1899 in Ottawa, Ontario, Canada, died November 10, 1958) was a Canadian professional ice hockey rightwinger who played in the National Hockey League for the Montreal Canadiens, Boston Bruins and New York Americans.";NATIONALITY
307;2;He served from 1961 until his assassination in 1963.;CONTROL
146;1;J. Carrol Naish or Joseph Patrick Carrol Naish (January 21, 1897 - January 24, 1973) was an American actor born in New York City, New York.;NATIONALITY
157;1;Dr. Benjamin Franklin (January 17, 1706 - April 17, 1790) was an American publisher, journalist, author, philanthropist, abolitionist, public servant, statesman, scientist, librarian, diplomat, poet, musician, philosopher, economist, and inventor.;NATIONALITY
167;1;Mildred Bailey (February 27, 1907 - December 12, 1951) was a popular American singer during the 1930s.;NATIONALITY
